P0052,SUBLIME MINI ALMENDRA X 28 TR X 12,2,28,0,24-11-2019 21:22:38
P0053,MEGA WAFER GN CHOCOLATE X 16 X 61 GR.,2,33,10,24-11-2019 21:22:39
P0054,MEGA WAFER GN FRESA X 16 X 61 GR.,2,33,0,24-11-2019 21:22:40
P0055,MEGA WAFER GN VAINILLA X 16 X 61 GR.,2,33,0,24-11-2019 21:22:41
P0056,RELLENITA DIA SURT. X 5 PK X 8,2,34,0,24-11-2019 21:22:42
P0057,VAINILLA DIA X 12 PK X 250 GR.,2,34,2,24-11-2019 21:22:43
P0058,WINTER DE LECHE X 35 DP X 30,2,40,1.5,24-11-2019 21:22:44
P0059,FINOS X 56 DP X 80,2,40,0,24-11-2019 21:22:45
P0060,TIC TAC SURTIDO 24 DP X 12,2,41,0,24-11-2019 21:22:46
P0061,MARSHMALIOWS MINI COLOR X 24 BL 100GR,2,20,12.5,24-11-2019 21:22:47
P0062,SUBLIME DUO 20X24X28GR,2,28,1,24-11-2019 21:22:48
P0063,M Y M 1KL,2,31,2,24-11-2019 21:22:49
P0064,GASTOS REPRESENTATIVOS,2,6,3,24-11-2019 21:22:50
P0065,MOMENTSX 12,5,11,4,24-11-2019 21:22:51
P0066,SURTIDA 11 X 24,2,11,5,24-11-2019 21:22:52
P0067,CORONITA CHOCO 28PKX6X38GR,2,27,6,24-11-2019 21:22:53
P0068,SOLEI,2,33,7,24-11-2019 21:22:54
P0069,SODA 33 28X12 ,2,33,8,24-11-2019 21:22:55
P0070,WAFER VAINILLA DIA  8X5,2,4,9,24-11-2019 21:22:56
P0071,WAFER CHOCOLATE DIA 5X8,2,4,10,24-11-2019 21:22:57
P0072,VAINILLA DIA X 100,2,4,11,24-11-2019 21:22:58
P0073,TEJANA 8 X 480GR,2,34,12,24-11-2019 21:22:59
P0074,CASINO BLACK VAINILLA X 30,2,4,13,24-11-2019 21:22:36
P0075,MINI TENTACION X 12,2,4,14,24-11-2019 21:22:37
P0076,CHOCO V 8X6,2,38,15,24-11-2019 21:22:38
P0077,WAFER FRESA DIA 5X8,2,4,16,24-11-2019 21:22:39
P0078,MINI RICCOCHIPS X 24,2,6,17,24-11-2019 21:22:40
P0079,CHOCO LUCMA 12 X 500GRM,2,6,18,24-11-2019 21:22:41
P0080,PANETON RICCOS CJ 6 X 900 GR,2,6,19,24-11-2019 21:22:42
