id_articulo,articulo,Moneda_precio,precio_venta1,Marca
42,CHICLE ANGRY BIRDS X 12 DP X 100,S/.,0,ARCOR
43,PRIVILEGIO 10 BL X 42,S/.,0,ARCOR
44,PRESTACIÓN DE SERVICIO,S/.,0,Publicidad
45,FRUTICA LOVE X 16 BL X 100,S/.,0,COLOMBINA
46,GLOBO POP LED PRINT X 12 DP X 20,S/.,0,CONFIPERU
47,GALLETA LATA X 18,S/.,13,COSTA
48,GALLETA SURT. AZUL X 6,S/.,0,COSTA
49,VIZZIO ESTUCHE X 15 UN X 89 GR.,S/.,0,COSTA
50,BURBUJITAS X 60 TR X 8,S/.,0,DOS CERRITOS
51,SUBLIME GALLETA X 12 DP X 24,S/.,0,NESTLÉ
52,SUBLIME MINI ALMENDRA X 28 TR X 12,S/.,10,NESTLÉ
53,MEGA WAFER GN CHOCOLATE X 16 X 61 GR.,S/.,0,SAN JORGE
54,MEGA WAFER GN FRESA X 16 X 61 GR.,S/.,0,SAN JORGE
55,MEGA WAFER GN VAINILLA X 16 X 61 GR.,S/.,0,SAN JORGE
56,RELLENITA DIA SURT. X 5 PK X 8,S/.,2,SAYON
57,VAINILLA DIA X 12 PK X 250 GR.,S/.,1.5,SAYON
58,WINTER DE LECHE X 35 DP X 30,S/.,0,WINTERS
59,FINOS X 56 DP X 80,S/.,0,WINTERS
60,TIC TAC SURTIDO 24 DP X 12,S/.,12.5,YICHANG
61,MARSHMALIOWS MINI COLOR X 24 BL 100GR,S/.,0,GUANDY
62,SUBLIME DUO 20X24X28GR,S/.,0,NESTLÉ
63,M Y M 1KL,S/.,0,PERU FARMA
64,GASTOS REPRESENTATIVOS,S/.,0,ANDINA
65,MOMENTSX 12,S/.,0,COLOMBINA
66,SURTIDA COLOMBINA X 24,S/.,0,COLOMBINA
67,CORONITA CHOCO 28PKX6X38GR,S/.,0,MONDELEZ
68,SOLEI,S/.,0,SAN JORGE
69,SODA SAN JORGE 28X12 ,S/.,0,SAN JORGE
70,WAFER VAINILLA DIA  8X5,S/.,0,ALICORP
71,WAFER CHOCOLATE DIA 5X8,S/.,0,ALICORP
72,VAINILLA DIA X 100,S/.,0,ALICORP SA
73,TEJANA 8 X 480GR,S/.,0,SAYON
74,CASINO BLACK VAINILLA X 30,S/.,0,ALICORP SA
75,MINI TENTACION X 12,S/.,0,ALICORP
76,CHOCO V 8X6,S/.,0,VICTORIA
77,WAFER FRESA DIA 5X8,S/.,0,ALICORP
78,MINI RICCOCHIPS X 24,S/.,0,ANDINA
79,CHOCO LUCMA 12 X 500GRM,S/.,0,ANDINA
80,PANETON RICCOS CJ 6 X 900 GR,S/.,0,ANDINA
81,CHAPLIN X 40,S/.,0,OLBAL
82,MECANO MANJAR 8 X 32 X 19GR.,S/.,0,COSTA
83,TRIFRUNA 8X420GR,S/.,0,AMBROSOLI
84,FRUGELE AMBRUJOS X 27 BLS,S/.,0,AMBROSOLI
85,AMBROMELLOWS BLANCO X 12,S/.,0,AMBROSOLI
86,BASTONES DE NAVIDAD 24X144GR,S/.,0,AMBROSOLI
87,PACK NAVIDEÑO X 30,S/.,0,COSTA
88,CHOCODONUTS  REGALO  16X222GR,S/.,0,COSTA
89,CHOCMAN DOBLE MANJAR  8X 6,S/.,0,COSTA
90,CARITA FIESTA 12 X 40UND,S/.,0,COSTA
91,HECHIZO HALLOWEN X25X300GR,S/.,0,AMBROSOLI
92,PANETON GLORIA CJ 6X900GR,S/.,0,GLORIA
93,PANETON GLORIA BL 6X900GR,S/.,0,GLORIA
